web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706543106-251","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","4,99 €/Kg"
"1706543106-252","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","1,32 €"
"1706543106-253","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","5,29 €/Kg"
"1706543106-254","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","3,49 €"
"1706543106-255","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","3,49 €/Pièce"
"1706543106-256","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","1,79 €"
"1706543106-257","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","1,79 €/Pièce"
"1706543106-258","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","1,17 €"
"1706543106-259","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","4,69 €/Kg"
"1706543106-260","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","4,99 €"
"1706543106-261","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,50 €/Kg"
"1706543106-262","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,99 €"
"1706543106-263","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,99 €/Pièce"
"1706543106-264","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,89 €"
"1706543106-265","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,89 €/Pièce"
"1706543106-266","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,29 €"
"1706543106-267","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","1,53 €/Kg"
"1706543106-268","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","1,99 €"
